[O-]C(=O)c1c(O)c(O)ccc1
CCCCCCCCC[C@H](O)CC(=O)N[C@@H]([C@@H](O)C([O-])=O)C(=O)N[C@H](CO)C(=O)N[C@H](CO)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCCN(O)C(=O)C)C(=O)N[C@H](CO)C(=O)N[C@H](C([O-])=O)CCCN(O)C(=O)C
O=C(C)N(O)CCC[C@@H](C([O-])=O)NC(=O)[C@@H](CO)NC(=O)[C@H](CCCN(O)C(=O)C)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](O)C([O-])=O)NC(=O)CCCCCCCCC
O=C(C)N(O)CCCCCNC(=O)CC(O)(C([O-])=O)CC(=O)NCCCCCN(O)C(=O)C
OCC/C(C)=C/C(=O)N(O)CCC[C@@H]1C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)NCC(=O)N[C@@H](CCCN(O)C(=O)/C=C(C)/CCO)C(=O)N[C@H](C(=O)N1)CCCN(O)C(=O)/C=C(\C)CCO
OCC/C(C)=C/C(=O)N(O)CCC[C@@H]1C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H](CCCN(O)C(=O)C)C(=O)N[C@H](C(=O)N1)CCCN(O)C(=O)/C=C(\C)CCO
[O-]C(=O)[C@H](O)CC[NH2+][C@@H](C([O-])=O)CC[NH2+][C@@H](C([O-])=O)CCO
OCC/C(C)=C/C(=O)N(O)CCC[C@@H]1C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H](CCCN(O)C(=O)/C=C(C)/CCO)C(=O)N[C@H](C(=O)N1)CCCN(O)C(=O)/C=C(\C)CCO
CC(=O)N(O)CCC[C@@H]1C(=O)N[C@@H](CO)C(=O)N[C@H](CO)C(=O)NCC(=O)N[C@@H](CCCN(O)C(=O)/C=C(C)/CCO)C(=O)N[C@H](C(=O)N1)CCCN(O)C(=O)/C=C(\C)CCO
OCC\C(C)=C\C(=O)N(O)CCC[C@@H]1C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H](CCCN(O)C(=O)/C=C(C)/CCOC(=O)C)C(=O)N[C@H](C(=O)N1)CCCN(O)C(=O)/C=C(\C)CCO
CC(=O)N(O)CCC[C@@H]1C(=O)N[C@@H](CO)C(=O)N[C@H](CO)C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CCCN(O)C(=O)C)CCCN(O)C(=O)/C=C(C)/CCO
CC(=O)N(O)CCC[C@@H]1C(=O)N[C@@H](CO)C(=O)N[C@H](CO)C(=O)NCC(=O)N[C@@H](CCCN(O)C(=O)C)C(=O)N[C@H](C(=O)N1)CCCN(O)C(=O)/C=C(\C)CCO
OCC\C(C)=C(C)\C(=O)N(O)CCC[C@@H]1C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H](CCCN(O)C(=O)C)C(=O)N[C@H](C(=O)N1)CCCN(O)C(=O)C
OCC\C(C)=C(C)\C(=O)N(O)CCC[C@@H]1C(=O)N[C@@H](CO)C(=O)N[C@H](CO)C(=O)NCC(=O)N[C@@H](CCCN(O)C(=O)/C=C(/C)CCO)C(=O)N[C@H](C(=O)N1)CCCN(O)C(=O)/C=C(C)/CCO
OCC\C(C)=C(C)\C(=O)N(O)CCC[C@@H]1C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H](CCCN(O)C(=O)C[C@@](O)(C)CCO)C(=O)N[C@H](C(=O)N1)CCCN(O)C(=O)/C=C(C)/CCO
OCC\C(C)=C(C)\C(=O)N(O)CCC[C@@H]1C(=O)N[C@@H](CO)C(=O)N[C@H](CO)C(=O)NCC(=O)N[C@@H](CCCN(O)C(=O)/C=C(C)/CCO)C(=O)N[C@H](C(=O)N1)CCCN(O)C(=O)C[C@@](O)(C)CCO
OCC[C@](O)(C)CC(=O)N(O)CCC[C@@H]1C(=O)N[C@@H](CO)C(=O)N[C@H](CO)C(=O)NCC(=O)N[C@@H](CCCN(O)C(=O)/C=C(C)/CCO)C(=O)N[C@H](C(=O)N1)CCCN(O)C(=O)/C=C(C)/CCO
CC(C)c1cnc(c(=O)n1[O-])C(C)C
CC(C)c1ncc(n([O-])c1=O)[C@H](C)CC
c1ccc(O)c(O)c1C(=O)N[C@H](C([O-])=O)CCCCNC(=O)c2c(O)c(O)ccc2
c1ccc(O)c(O)c1C(=O)NCC(=O)N[C@H]2[C@@H](C)OC(=O)[C@@H](NC(=O)CNC(=O)c3c(O)c(O)ccc3)[C@@H](C)OC(=O)[C@H]([C@@H](C)OC2=O)NC(=O)CNC(=O)c4c(O)c(O)ccc4
c1ccc(O)c(O)c1C(=O)NCC(=O)N[C@@H]([C@H](O)C)C(=O)O[C@H](C)[C@H](NC(=O)CNC(=O)c2c(O)c(O)ccc2)C(=O)O[C@@H](C)[C@@H](C([O-])=O)NC(=O)CNC(=O)c3c(O)c(O)ccc3
c1ccc(O)c(O)c1C(=O)NCC(=O)N[C@H](C([O-])=O)[C@@H](C)OC(=O)[C@H]([C@H](O)C)NC(=O)CNC(=O)c2c(O)c(O)ccc2
[O-]C(=O)C/C(C)=C\C(=O)N(O)CCC[C@@H](C([O-])=O)NC(=O)[C@H](CCCN(O)C(=O)/C=C(C)\CC([O-])=O)NC(=O)[C@@H]([NH3+])CCCN(O)C(=O)/C=C(C)\CC([O-])=O
NC(=[NH2+])NCCC[C@@H](C(=O)N[C@@H]([C@H](O)C)C(=O)OC)NC(=O)c1c(O)c(O)ccc1
ON1CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC1=O
[O-]n1c(C)c(OC)ccc1=O
OC[C@@H](C([O-])=O)NC(=O)[C@@H](CCCC[NH3+])NC(=O)c1c(O)c(O)ccc1
[O-]C(=O)[C@@H]([NH3+])CCCN(O)C(=O)/C=C(/C)CCO
[O-]C(=O)CC(O)(C([O-])=O)CC([O-])=O
O=CN(O)CCC[C@@H]([NH3+])C(=O)N[C@H]([C@H](O)C)C(=O)N(O)CCC[C@@H](C([O-])=O)NC(=O)[C@H]([NH3+])CCCN(O)C=O
OCC/C(C)=C\C(=O)N(O)CCC[C@@H](NC1=O)C(=O)N[C@H]1CCCN(O)C(=O)/C=C(C)/CCOC(=O)[C@@H](NC(=O)C)CCCN(O)C(=O)/C=C(C)\CCO
OCC\C(C)=C\C(=O)N(O)CCC[C@@H](NC1=O)C(=O)N[C@@H]1CCCN(O)C(=O)/C=C(C)/CCOC(=O)[C@@H]([NH3+])CCCN(O)C(=O)/C=C(C)/CCO
CCCCCCCC(=O)N[C@H]([C@@H](O)c1c[nH]cn1)C2=[NH+]CC[C@H](N2)C(=O)N[C@@H](CC[NH3+])C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@H]([C@@H](C(=O)[O-])O)C3=[NH+]CC[C@H](N3)C(=O)N[C@@H](C(=O)C)[C@@H](C(=O)[O-])O
[O-]C(=O)C[C@@](C([O-])=O)(O)CC(=O)N[C@H](C(=O)[O-])CCCCNC(=O)C[C@@](C(=O)[O-])(O)CC([O-])=O
CCCCCCCCCC(=O)N[C@@H]([C@H](O)C([O-])=O)C(=O)N[C@@H](CC[NH3+])C(=O)N[C@@H]([C@H](O)C([O-])=O)C(=O)NCC(=O)N[C@H](C([O-])=O)CCCN(O)C(=O)C[C@@H](O)C
ON1CCC[C@@H]([NH3+])C(=O)OCC/C(C)=C/C(=O)N(O)CCC[C@@H]([NH3+])C(=O)OCC/C(C)=C/C(=O)N(O)CCC[C@@H]([NH3+])C(=O)OCC/C(C)=C\C1=O
Oc1cccc(c1O)C(=O)N[C@H](CCCC[NH3+])C(=O)N[C@@H]2C(=O)OC[C@H](NC(=O)[C@@H](CCCC[NH3+])NC(=O)c3cccc(O)c3O)C(=O)OC[C@@H](C(=O)OC2)NC(=O)[C@@H](CCCC[NH3+])NC(=O)c4cccc(O)c4O
CC(=O)NCCCNC(=O)C[C@@](C([O-])=O)(O)CC(=O)NCCCN(O)C(=O)C
OCC/C(C)=C\C(=O)N(O)CCC[C@@H](C([O-])=O)NC(=O)[C@H](CCCN(O)C(=O)/C=C(C)\CCO)NC(=O)[C@@H]([NH3+])CCCN(O)C(=O)/C=C(C)\CCO
O=C(C)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCC[NH3+]
O=C(C)N(O)CCCCNC(=O)CCC(=O)N(O)CCCCNC(=O)CCC(=O)N(O)CCCCC[NH3+]
O=C(C)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCC[NH3+]
O=C(C)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)C
ON1CCCCCNC(=O)CCC(=O)N(O)CCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC1=O
ON1CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC1=O
[O-]C(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCC[NH3+]
[O-]C(=O)CCC(=O)N(O)CCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCC[NH3+]
[O-]C(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCNC(=O)CCC(=O)N(O)CCCCC[NH3+]
[O-]C(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCC[NH3+]
O=C(C)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)[O-]
O=C1CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN1
ON1CCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC1=O
O=C1CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCN1
O=C1CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCNC(=O)CCC(=O)N(O)CCCCN1
O=C1CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCNC(=O)CCC(=O)N(O)CCCNC(=O)CCC(=O)N(O)CCCN1
ON1CCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCNC(=O)CCC1=O
ON1CCCCNC(=O)CCC(=O)N(O)CCCCNC(=O)CCC(=O)N(O)CCCCNC(=O)CCC1=O
ON1CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCCNC(=O)CCC1=O
ON1CCCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)NCCCCCCNC(=O)CCC1=O
[O-]C(=O)[C@]1(C)N=C(SC1)c2[nH+]cccc2[O-]
c1ccc(O)c(O)c1C(=O)N[C@@H](CCCNC(N)=[NH2+])C(=O)N[C@H](C([O-])=O)[C@@H](C)OC(=O)[C@H]([C@H](O)C)NC(=O)[C@H](CCCNC(N)=[NH2+])NC(=O)c2c(O)c(O)ccc2
c1ccc(O)c(O)c1C(=O)N[C@H](CCCC[NH3+])C(=O)N[C@H](C([O-])=O)COC(=O)[C@H](CO)NC(=O)[C@@H](CCCC[NH3+])NC(=O)c2c(O)c(O)ccc2
OCC\C(C)=C\C(=O)N(O)CCC[C@@H](NC1=O)C(=O)N[C@@H]1CCCN(O)C(=O)/C=C(C)/CCO
OCC/C(C)=C\C(=O)N(O)CCC[C@@H](NC1=O)C(=O)N[C@@H]1CCCN(O)C(=O)/C=C(C)\CCOC(=O)[C@@H]([NH+](C)C)CCCN(O)C(=O)/C=C(C)/CCO
O=C(C)N(O)CCC[C@@H](NC1=O)C(=O)N[C@@H]1CCCN(O)C(=O)/C=C(C)\CCOC(=O)[C@@H]([NH+](C)C)CCCN(O)C(=O)/C=C(C)/CCO
OCC/C(C)=C/C(=O)N(O)CCC[C@@H]1C(=O)N[C@H](C(=O)N1)CCCN(O)C(=O)/C=C(C)/CCOC(=O)[C@H]([NH+](C)C)CCCN(O)C(=O)C
c1ccc(O)c(O)c1C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](C([O-])=O)COC(=O)[C@H](CO)NC(=O)[C@@H](CCCNC(N)=[NH2+])NC(=O)c2c(O)c(O)ccc2
[O-]C(=O)[C@H]1CS[C@H](N1C)[C@H]2N=C(SC2)c3c(O)cccc3
c1ccc(O)c(O)c1C(=O)N[C@H]2COC(=O)[C@@H](NC(=O)c3c(O)c(O)ccc3)COC(=O)[C@H](COC2=O)NC(=O)c4c(O)c(O)ccc4
